id,pantun,quality,reason,avg_syllables,rhyme_type,line_count
11,"Wujud berjasa rencam khazanah,
Tumbuh rumput reput mempelam;
Tatkala berkuasa khianati amanah,
Rakyat sejemput pimpinan setalam.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
12,"Rasuk berlubang lamanya hayat,
Wujud  berjasa rencam khazanah;
Hebat sembang membela rakyat,
Tatkala berkuasa khianati amanah.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
13,"Tiangnya kayu berbatu hiasan,
Rasuk berlubang lamanya hayat;
Meroyan merayu pelbagai alasan,
Hebat sembang membela rakyat.",Moderate,No nature elements,10.0,ABAB,4
14,"Rasuk nan rosak beruti dicari,
Tiangnya kayu berbatu hiasan;
Pabila terdesak saudara dicari,
Meroyan merayu pelbagai alasan.",Moderate,No nature elements,11.0,ABAB,4
15,"Diratakan tanah lopak merata,
Rasuk nan rosak beruti dicari;
Lidah memfitnah terlupa saudara,
Pabila terdesak saudara dicari.",Moderate,No nature elements,11.25,ABAB,4
16,"Dihias selesa nan indah terlihat,
Diratakan tanah lopak merata;
Seagama sebangsa berkongsi kiblat,
Lidah memfitnah terlupa saudara.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.0,ABAB,4
17,"Perbaiki rumah warisan pusaka,
Dihias selesa nan indah terlihat;
Sedang ditohmah seburuk sangka,
Seagama sebangsa berkongsi kiblat.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.75,ABAB,4
18,"Papan dipaku di lantai nan sama,
Perbaiki rumah warisan pusaka;
Pandai mengaku perjuangan sama,
Sedang ditohmah seburuk sangka.",Moderate,Word count per line is not in the range of 4-5; No nature elements,10.5,ABAB,4
19,"Hasil sedusun dan berkawah gulai,
Datang bertuntun ceria bersama;
Terhimpun tersusun penuh sebalai,
Balai Kartun Rossem empunya nama.",Moderate,No nature elements,10.75,ABAB,4
20,"Menjamu setaman meriah jemputan,
Hasil sedusun dan berkawah gulai;
Melukis pengalaman subur ingatan,
Terhimpun tersusun penuh sebalai.",Moderate,No nature elements,11.25,ABAB,4
21,"Rumpunan buluh rebung dipungut,
Menjamu setaman meriah jemputan ;
Tiadalah keluh kesah merungut,
Melukis pengalaman subur ingatan.",Moderate,Rhyme doesn't follow ABAB or AAAA pattern,10.75,Other,4
22,"Tanah bergeran rimbunan redup,
Rumpunan buluh rebung dipungut;
Penuh kesyukuran nikmati hidup,
Tiadalah keluh kesah merungut.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
23,"Sekawan gajah meredah tanaman,
Tanah bergeran rimbunan redup;
Tenang wajah melimpah pengalaman,
Penuh kesyukuran nikmati hidup.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.75,ABAB,4
24,"Anak beruang tersesat di ladang,
Sekawan gajah meredah tanaman;
Bertemu pejuang tiada didendang,
Tenang wajah melimpah pengalaman.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
25,"Dayung hilang kelilingnya sampah,
Tatkala senja terlindung pandangan;
Membawa pulang rezeki melimpah,
Menafkahi keluarga anugerah Tuhan.",Moderate,Syllable count per line is not in the range of 8-12,11.25,ABAB,4
26,"Perahu tua pusaka warisan,
Dayung hilang kelilingnya sampah;
Menitipkan doa buat nelayan,
Membawa pulang rezeki melimpah.",Moderate,No nature elements,10.0,ABAB,4
27,"Koyak rabak jala tergantung,
Perahu tua pusaka warisan;
Zikir ombak tiada penghujung,
Menitipkan doa buat nelayan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.25,ABAB,4
28,"Kereta sorong di tunggul mengkudu,
Disandarkan cermat papan beruti;
Maggie sotong teh tarik madu,
Alangkah nikmat bersyukur di hati.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
29,"Akar bertemu rimbun selesa,
Melingkar panjang akar kuini;
Adab dan ilmu perkukuh bangsa,
Menjadi tunjang negara madani.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
30,"Paya subur aneka tumbuhan,
Akar bertemu rimbun selesa;
Fitnah lebur di jernih fikiran,
Adab dan ilmu perkukuh bangsa.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
31,"Paya diredah berudu cempera,
Paya subur aneka tumbuhan;
Tertib lidah menuturkan bicara,
Fitnah lebur di jernih fikiran.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
32,"Tumbuh merata rumpun keladi,
Paya diredah berudu cempera;
Khazana kata himpunan budi,
Tertib lidah menuturkaan bicara.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
33,"Rendang duku teduhan dusun,
Tumbuh di pangkal hijau rerumput;
Terhimpun buku elok disusun,
Mendidik akal tidak berserabut.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
34,"Di belukar semak sekawan berok,
Terbang balam ke dahan jejawi;
Menemani anak pulang ke Bachok,
Singgah bermalam di Pantai Melawi;",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.75,ABAB,4
35,"Di paya bersemak menangkap haruan,
Di denai ke tebat si pohon cermai;
Restoran mamak lambang  perpaduan,
Tegang berdebat teh tarik pendamai.",Moderate,Word count per line is not in the range of 4-5,10.75,ABAB,4
36,"Rendang jambu di halaman jiran,
Buahnya lebat gugur ke halaman;
Tempat bertemu rakan dan taulan,
Menjejak sahabat mengimbau kenangan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
37,"Terbang kumbang terbang merata,
Di tebingan paya keladi gajah;
Mendengar sembang pelbagai cerita,
Kadang ceria dalam serius hujah.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
38,"Cili padi ramuan digaul,
Hiris papaya kacang kelisa;
Akal budi adab nan unggul,
Utuh budaya kekallah bangsa.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.25,ABAB,4
39,"Keladi digulai juga dicelur,
Cili padi ramuan digaul;
Cerminan nilai pekerti leluhur,
Akal budi adab nan unggul.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.75,ABAB,4
40,"Itik di paya dan sekawan angsa,
Keladi digulai juga dicelur;
Warisan budaya pusaka bangsa,
Cerminan nilai pekerti leluhur.",Moderate,Word count per line is not in the range of 4-5,11.0,ABAB,4
41,"Berpuput bayu leka termangu,
Itik di paya dan sekawan angsa;
Berbaju Melayu berwarna ungu,
Warisan budaya pusaka bangsa.",Moderate,Word count per line is not in the range of 4-5,10.75,ABAB,4
42,"Cerahnya hari sinar mentari,
Berpuput bayu leka termangu;
Selamat Hari Raya Aidil Fitri,
Berbaju Melayu berwarna ungu.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
43,"Tempua melayang ke rumpun lalang,
Bersarang tempua pelepah hujungan;
Bak wayang kulit mainan dalang,
Si watak kecewa nan empunya umpan.",Moderate,Word count per line is not in the range of 4-5,10.5,ABAB,4
44,"Duduk di batu nikmati pemandangan,
Tempua melayang ke rumpun lalang;
Dibalingnya batu sembunyikan tangan,
Bak wayang kulit mainan dalang.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.75,ABAB,4
45,"Mengelap mengirai peluh di dahi,
Duduk di batu nikmati pemandangan;
Kokok berderai ekor gelumang tahi,
Dibalingnya batu sembunyikan tangan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.75,ABAB,4
46,"Sederap selangkah berayunan tangan,
Mengelap mengirai peluh di dahi;
Bagai melukah di sempit pergentingan,
Kokok berderai ekor gelumang tahi.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.75,ABAB,4
47,"Berselang detik nafas menghela,
Sederap langkah berayunan tangan;
Meriah pengkritik pejuang pembela,
Bagai melukah di sempit pergentingan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.75,ABAB,4
48,"Kembali cergas keliling menapak,
Berselang detik nafas menghela;
Antara tugas dan drama sebabak,
Meriah pengkritik pejuang pembela.",Moderate,No nature elements,10.5,ABAB,4
49,"Di bawah pelipat di setiap celah,
Kembali cergas keliling menapak;
Pelbagai pendapat berat sebelah,
Antara tugas dan drama sebabak.",Moderate,Word count per line is not in the range of 4-5; No nature elements,11.0,ABAB,4
50,"Sengal-sengalan hilang ketara,
Di bawah pelipat di setiap celah;
Antara kekuasaan dan budi bicara,
Pelbagai pendapat berat sebelah.",Moderate,Word count per line is not in the range of 4-5; No nature elements,11.0,ABAB,4
51,"Disapu merata badan pun segar,
Sengal-sengalan hilang ketara;
Punya cerita sedikit mengegar,
Antara kekuasaan dan budi bicara.",Moderate,Word count per line is not in the range of 4-5; No nature elements,11.0,ABAB,4
52,"Berurut santai dan minyak telon,
Disapu merata badan pun segar;
Pakcik petai dan abang belon,
Punya cerita sedikit menggegar.",Moderate,No nature elements,10.25,ABAB,4
53,"Sayur celur dihidang di teratak
Teratak Mak Teh di hulu paya;
Memesan telor separuh masak,
Menikmati teh tarik perasa halia.",Moderate,Word count per line is not in the range of 4-5; No nature elements,10.75,ABAB,4
54,"Nasilah lemak sambalnya petai,
Sambal petai menu Mak Teh;
Menjenguk mamak terawih selesai,
Menikmati santai sambil mengeteh.",Moderate,No nature elements,10.0,ABAB,4
55,"Sukar disekat fitnah mengalir,
Si fikiran lesu jadi tunggangan;
Islam tergugat Melayu terpinggir,
Naratif palsu menagih sokongan.",Moderate,No nature elements,10.75,ABAB,4
56,"Letih dan lelah dicerca berulang,
Sukar disekat fitnah mengalir;
DAP dipersalah berwajah petualang,
Islam tergugat Melayu terpinggir.",Moderate,No nature elements,10.75,ABAB,4
57,"Seandainya diam dilabel semacam,
Letih dan lelah dicerca berulang;
Melayu dan Islam ditohmah terancam,
DAP dipersalah berwajah petualang.",Moderate,No nature elements,11.0,ABAB,4
58,"Begitu begini alangkah penat,
Seandainya diam dilabel semacam;
Kerajaan Madani dianggap khianat,
Melayu dan Islam ditohmah terancam.",Moderate,No nature elements,10.75,ABAB,4
59,"Darah bertitisan terimbau kenangan,
Begitu begini alangkah penat;
Setelah kuasa tiada di genggaman,
Kerajaan Madani dianggap khianat.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.0,ABAB,4
60,"Pecahlah bisul dek jatuh terlentang,
Darah bertitisan terimbau kenangan;
Mereka mengusul mereka menentang,
Setelah kuasa tiada di genggaman.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.5,ABAB,4
61,"Pangkin patah jatuh berdarah,
Pecahlah bisul dek jatuh terlentang;
Melalak melatah terlupa sejarah,
Mereka mengusul mereka menentang.",Moderate,No nature elements,11.0,ABAB,4
62,"Duduk di pangkin dikelilingi angsa,
Pangkin patah jatuh  berdarah;
Mereka pemimpin nan hilang kuasa,
Melalak melatah terlupa sejarah.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.0,ABAB,4
63,"Bumbung limas hinggaplah punai,
Pohon layu di tebing perigi;
Jongkong emas dan ringgit tunai,
Citra Melayu berpendapatan tinggi.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
64,"Loyang dibasuh disabun segala,
Sangkut di paku nan bersebelahan;
Anak diasuh kan pijak kepala,
Kelak guru dibebankan kesalahan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.0,ABAB,4
65,"Berbaris-baris sudut penjuru,
Loyang dibasuh disabun segala;
Angkuh waris mencerca guru,
Anak diasuh kan pijak kepala.",Moderate,Word count per line is not in the range of 4-5,10.0,ABAB,4
66,"Di atas loyang disusun ketupat,
Berbaris-baris sendat penjuru;
Kasih sayang tidak bertempat,
Angkuh waris mencerca guru.",Moderate,Word count per line is not in the range of 4-5; No nature elements,9.75,ABAB,4
67,"Inti kelapa dan sebekas pau,
Di atas loyang disusun ketupat;
Ibu bapa nan manjakan melampau,
Kasih sayang tidak bertempat.",Moderate,No nature elements,10.25,ABAB,4
68,"Juga ditambah kepingan roti
Inti kelapa dan sebekas pau;
Guru marah murid mengerti,
Ibu bapa nan manjakan melampau.",Moderate,No nature elements,10.0,ABAB,4
69,"Bergelang emas bercincin suasa,
Biar sederhana usah melampaui;
Dirgahayu UKM kian mendewasa,
Laksana amanah universiti pertiwi.",Moderate,Syllable count per line is not in the range of 8-12; No nature elements,11.0,ABAB,4
70,"Berbalam jauh sigunung Daik,
Berkayuh ke sana sepanjang hari,
Betapa indah bersangka baik,
Tiap insan, boleh dipelajari.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.5,ABAB,4
71,"Bunga kenanga kembang menguning,
Berayun lembut indah di untaian,
Fikiran tenang di pagi hening,
Syukuri hidup penuh kedamaian.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
72,"Teringat pula laksa Nyonya,
Sebelum Ramadhan pernah dinikmati,
Setiap insan ada ceritanya,
Kerahsiaannya harus dihormati",Moderate,Word count per line is not in the range of 4-5,10.25,ABAB,4
73,"Buah terap di luar pagar,
Tunggu ranum barulah dijoloki,
Usah diharap kepada pegar,
Nodai amanah bukan yang dimiliki.",Moderate,Syllable count per line is not in the range of 8-12; No nature elements,10.0,ABAB,4
74,"Pasti ramai ambil kesempatan,
Dengan tunjukkan segala yang mulus,
Saat ada yang sedang kesempitan,
Hulurkan tangan sepenuh tulus.",Moderate,No nature elements,10.25,ABAB,4
75,"Banjir besar menghanyutkan jeti,
Dibawa arus tenggelam timbul,
Amanah diberi mengapa dikhianati,
Doa teraniaya segera termakbul.",Moderate,Syllable count per line is not in the range of 8-12,11.0,ABAB,4
76,"Berkali-kali kompang dipalu,
Suasana suram harus diwarnai,
Usah dikesali masa berlalu,
Masa mendatang perlu dimaknai.",Moderate,Word count per line is not in the range of 4-5,10.25,ABAB,4
77,"Aktiviti sihat berjalan kaki,
Jangan tersandung jatuh tersungkur,
Berbahagilah berkongsi rezeki,
Amalan tersanjung menzahir syukur",Moderate,Word count per line is not in the range of 4-5; No nature elements,10.75,ABAB,4
78,"Hati yang bersih kurang ketawa,
Senda berlebihan usah dibalas,
Kata diungkap meresap ke jiwa,
Terzahir dari hati yang ikhlas.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
79,"Mengayuh perahu ke Sungai Papan,
Menghampiri jeti beberapa hasta,
Sentiasa melihat dengan harapan,
Nur hidayah bukan milik kita.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.0,ABAB,4
80,"Tumbuh sendirian pohon melati,
Meliuk lintuk bayu bertiupan,
Bila kesyukuran tidak di hati,
Segala yang ada tidak kecukupan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
81,"Terasa berat melepaskan pergi,
Bagai hidup dalam kegelapan,
Setelah hilang baru dihargai,
Bertemu kembali besar harapan.",Moderate,No nature elements,10.5,ABAB,4
82,"Cerita legenda Sang Kelembai,
Warisan lama perlu dipulih,
Seruan bersedekah usah diabai,
Rahmah Tuhan insan terpilih.",Moderate,No nature elements,9.75,ABAB,4
83,"Hasil tangkapan ikan kerisi,
Bila dimasak minyak berlinang,
Orang baik perginya ditangisi,
Santun baktinya terus dikenang.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
84,"Tanpa tujuan ke sana ke mari,
Simpan cerita rindu terpendam,
Kemuliaan Ramadhan usah dicemari,
Kebiasaan menista cubalah dipadam.",Moderate,Word count per line is not in the range of 4-5; No nature elements,11.0,ABAB,4
85,"Sirap teradun biji selasih,
Sekeping roti sepiring serawa,
Jiwa resah terusap kasih,
Ramadhan barokah mendidik jiwa.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
86,"Terlerai lara bulan mengambang,
Cahaya terang tumpah di dedaunan,
Meraikan Ramadhan kian bertandang,
Bulan Rahmah Bulan Keampunan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
87,"Kejayaan palsu usah dirai,
Hasil muafakat pihak bersubahat,
Apabila maklumat tidak dikuasai,
Mudah terperangkap tipu muslihat.",Moderate,No nature elements,10.75,ABAB,4
88,"Bina semula segala kehancuran,
Meskipun sukar harus ditempuhi,
Bukalah hati menerima teguran,
Teguran ikhlas kerana mengasihi.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.75,ABAB,4
89,"Rancang perjalanan untuk ke Pekan,
Teruslah nanti ke Kuala Krai,
Meski masa dan ruang memisahkan,
Persahabatan terbina tak kan terlerai.",Moderate,Syllable count per line is not in the range of 8-12; No nature elements,10.75,ABAB,4
90,"Awan mendung cuaca pun suram,
Unggas termangu di atas dahan,
Apabila kebenaran terus diperam,
Pelbagai andaian tidak berkesudahan.",Moderate,Syllable count per line is not in the range of 8-12,11.0,ABAB,4
91,"Bunga mekar disunting kumbang,
Turut dihinggap lebah menyengat,
Kalau tak mampu untuk menyumbang,
Berilah dorongan kata semangat.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
92,"Perlu berhasrat menjadi kaya,
Tanpa ragu manfaatkan kekayaan,
Jika kesegeraan tidak membudaya,
Negara maju hanyalah impian.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
93,"Sentiasa dinanti durian kan gugur,
Penat menyemai kini diraikan,
Usah merajuk bila ditegur,
Teguran diberi untuk kebaikan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
94,"Putih berseri simelur Cina,
Kembang mekar dipetik tangan,
Pengalaman memimpin bertahun terbina,
Meyakinkan dunia memberi dukungan.",Moderate,Syllable count per line is not in the range of 8-12,11.0,ABAB,4
95,"Pahlawan di Melaka bernama Hang Lekir,
Musuh melawan pastinya musnah,
Di kalangan masyarakat malas berfikir,
Mudah sangat dipengaruhi fitnah.",Moderate,Word count per line is not in the range of 4-5; Syllable count per line is not in the range of 8-12,11.75,ABAB,4
96,"Terus dihulur salam perkenalan,
Pertemuan pertama mesra terasa,
Nilai tradisi harus berkekalan,
Agar terpelihara peradaban bangsa.",Moderate,Syllable count per line is not in the range of 8-12,11.5,ABAB,4
97,"Tumbuh subur pohon meranti,
Binaan rumah kukuh bertahan,
Petaka yang datang harus dimengerti,
Ada isyarat disampaikan Tuhan",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
98,"Pisang emas dan ikan gelama,
Labu sebelah pisang sesisir;
Hanyut lemas terdampar bersama,
Hilang lelah senyum terukir.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.75,ABAB,4
99,"Penuh segayung santan ditimbang,
Pisang emas dan ikan gelama;
Gigihlah berdayung melayan gelombang,
Hanyut lemas terdampar bersama.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
100,"Tatkala ke pekan singgah di pasar,
Penuh segayung santan ditimbang;
Jangan dibiarkan perahu terdampar,
Gigihlah berdayung melayan gelombang.",Moderate,Word count per line is not in the range of 4-5,11.0,ABAB,4
101,"Kembangkan payung usah hujanan,
Tatkala ke pekan singgah di pasar;
Pegang pendayung erat di tangan,
Jangan dibiarkan perahu terdampar.",Moderate,Word count per line is not in the range of 4-5,10.5,ABAB,4
102,"Terbang merbah ke pohon rambai,
Turun ke tanah mencari makanan;
Dosa dan ukhuwah semakin diabai,
Surah dan sunnah menjadi mainan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
103,"Menjelang senja kumaandang takbir,
Terbang merbah ke pohon rambai;
Fitnah dan cerca mainan di bibir,
Dosa dan ukhuwah semakin diabai.",Moderate,Word count per line is not in the range of 4-5,10.0,ABAB,4
104,"Monyet cempera di rantingan sena,
Menjelang senja kumandang takbir;
Kebebasan bersuara disalah guna,
Fitnah dan cerca mainan di bibir.",Moderate,Word count per line is not in the range of 4-5,10.75,ABAB,4
105,"Teduh panas di rumah jiran,
Kuih sedap diajak singgah;
Akal bernas jernih fikiran
Elok adab menghias tingkah.",Moderate,Syllable count per line is not in the range of 8-12,8.25,ABAB,4
106,"Adik-adik duduk perhati,
Teduh panas di rumah jiran;
Tanda cerdik terrib pekerti,
Akal bernas jernih fikiran.",Moderate,Word count per line is not in the range of 4-5,9.0,ABAB,4
107,"Susun bata di tangga pangsa,
Adik-adik duduk perhati;
Santun kata halus bahasa,
Tanda cerdik tertib pekerti.",Moderate,Word count per line is not in the range of 4-5,9.0,ABAB,4
108,"Di tepi sawah pohon mengkudu,
Batangnya basah dek hujan lebat;
Lama terpisah menggamit rindu,
Rasa gelisah nan sukar dirawat.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
109,"Kawanan berudu di kolam takungan,
Di tepi sawah pohon mengkudu;
Tiap waktu mencoret kenangan,
Lama terpisah menggamit rindu.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
110,"Ikan toman aneka warna,
Makan berudu kolam takungan;
Setiap halaman memberi makna,
Tiap waktu mencoret kenangan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.5,ABAB,4
111,"Ikan gelama si ikan puyu,
Ikan toman aneka warna;
Kawan umpama senaskah buku
Setiap halaman memberi makna.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.75,ABAB,4
112,"Ambil belati ambil gergaji,
Ditebang pelam ditebang nangka;
Saling berganti puji dan keji,
Bagaikan talam bermuka-muka.",Moderate,Word count per line is not in the range of 4-5,10.0,ABAB,4
113,"Basah muka disapu ke baju,
Ketawa lelah senda gurauan;
Syurga neraka mereka penentu,
Redha Allah mereka abaikan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
114,"Gelang suasa terkena basah,
Basah muka disapu ke baju;
Berebut kuasa dalil berubah,
Syurga neraka mereka penentu.",Moderate,No nature elements,10.0,ABAB,4
115,"Berair mata menitis ke nyiru,
Gelang suasa terkena basah;
Kecamuk jelata semakin keliru,
Berebut kuasa dalil berubah.",Moderate,No nature elements,10.25,ABAB,4
116,"Duduk di pangkin tawa berdekah,
Berair mata menitis ke nyiru;
Angkara pemimpin kehilangan arah,
Kecamuk jelata semakin keliru.",Moderate,No nature elements,11.0,ABAB,4
117,"Terbang rerama nyelinap puyuh,
Duduk di pangkin tawa berdekah;
Sebangsa seagama menjadi musuh,
Angkara pemimpin kehilangan arah.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.75,ABAB,4
118,"Pinggir belukar arah ke kota,
Terbang rerama nyelinap puyuh;
Fitnahnya mekar dalam sengketa,
Sebangsa seagama menjadi musuh.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
119,"Dahan nan sekah jatuh ke tanah,
Pinggir belukar arah ke kota,
Kata bertingkah di dalam fitnah,
Fitnahnya mekar dalam sengketa.",Moderate,Word count per line is not in the range of 4-5,10.0,ABAB,4
120,"Unggas bersarang terbang merata,
Fahan nan sekah jatuh ke tanah;
Melayu hilang di dalam kata,
Kata bertingkah di dalam fitnah.",Moderate,Word count per line is not in the range of 4-5,10.0,ABAB,4
121,"Rendang duku dedaunnya layu,
Unggas bersarang terbang merata;
Kubaca buku tentang Melayu,
Melayu hilang di dalam kata.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.75,ABAB,4
122,"Pohon leban dedaun berguguran,
Menimpa selasih di hujung halaman;
Doa dititipkan jernihkan fikiran,
Hasrat kasih moga berpanjangan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.75,ABAB,4
123,"Pohon cermai pohon meranti,
Pohon leban dedaun berguguran;
Sukma damai tenanglah hati,
Doa dititipkan jernihkan fikiran.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.75,ABAB,4
124,"Batang terbelah nampak empulur,
Pohon cermai pohon meranti;
Mengaku bersalah maaf dihulur,
Sukma damai tenanglah hati.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.5,ABAB,4
125,"Rumpun palas kembang ceracak,
Batang terbelah nampak empulur;
Kian diperjelas amarah memuncak,
Mengaku bersalah maaf dihulur.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
126,"Periuk kera merata di hilir,
Rumpun palas kembang ceracak;
Ingin bermesra sengketa nan hadir,
Kian diperjelas amarah memuncak.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
127,"Pohon berduri mekar berbunga,
Periuk kera merata di hilir;
Menyesal diri salah bertanya,
Ingin bermesra sengketa nan hadir.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
128,"Angin berdesir dahan berdakap,
Pohon berduri mekar berbunga;
Tersalah tafsir bicara diungkap,
Menyesal diri salah bertanya.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
129,"Dari gunung menuruni lurah,
Angin berdesir dahan berdakap;
Puas kurenung punca amarah,
Tersalah tafsir bicara diungkap.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.75,ABAB,4
