id,pantun,quality,reason,avg_syllables,rhyme_type,line_count
24,"Rendang duku dedaunnya layu,
Unggas bersarang terbang merata;
Kubaca buku tentang Melayu,
Melayu hilang di dalam kata.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.75,ABAB,4
25,"Pohon leban dedaun berguguran,
Menimpa selasih di hujung halaman;
Doa dititipkan jernihkan fikiran,
Hasrat kasih moga berpanjangan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.75,ABAB,4
26,"Pohon cermai pohon meranti,
Pohon leban dedaun berguguran;
Sukma damai tenanglah hati,
Doa dititipkan jernihkan fikiran.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.75,ABAB,4
27,"Batang terbelah nampak empulur,
Pohon cermai pohon meranti;
Mengaku bersalah maaf dihulur,
Sukma damai tenanglah hati.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.5,ABAB,4
28,"Rumpun palas kembang ceracak,
Batang terbelah nampak empulur;
Kian diperjelas amarah memuncak,
Mengaku bersalah maaf dihulur.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
29,"Periuk kera merata di hilir,
Rumpun palas kembang ceracak;
Ingin bermesra sengketa nan hadir,
Kian diperjelas amarah memuncak.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
30,"Pohon berduri mekar berbunga,
Periuk kera merata di hilir;
Menyesal diri salah bertanya,
Ingin bermesra sengketa nan hadir.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
31,"Angin berdesir dahan berdakap,
Pohon berduri mekar berbunga;
Tersalah tafsir bicara diungkap,
Menyesal diri salah bertanya.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
32,"Dari gunung menuruni lurah,
Angin berdesir dahan berdakap;
Puas kurenung punca amarah,
Tersalah tafsir bicara diungkap.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.75,ABAB,4
33,"Sedangkan angsa di rumpun jambu,
Eloknya cuaca mendungoun sirna;
Memandaikan bangsa budayakan ilmu,
Budayakan membaca mencari makna.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.0,ABAB,4
34,"Terbang gagak angin menyongsong,
Sedangkan angsa di rumpun jambu;
Usah berlagak bagaikan tong kosong,
Memandaikan bangsa budayakan ilmu.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
35,"Di tebing tebat rerama merata,
Terbang gagak angin menyongsong;
Andai berdebat hujah berfakta,
Usah berlagak bagaikan tong kosong.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
36,"Disinar mentari hembusan bayu,
Di hutan ijuk tumbuh meranti;
Merata dicari tiadalah ketemu,
Hati kupujuk sabar menanti.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.75,ABAB,4
37,"Tumbuh di perdu pohon bidara,
Disinar mentari hembusan bayu;
Merimbun rindu si wajah jelita,
Merata dicari tiadalah ketemu.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.0,ABAB,4
38,"Bunga melati si bunga selasih,
Tumbuh di perdu pohon bidara;
Berbunga hati semerbak kasih,
Merimbun rindu si wajah jelita.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
39,"Elak tersasul langkah nan sumbang,
Menjadi igauan khazanah warisan.
Pendekar bacul berlagak garang,
Menjadi tatapan hilang kewarasan.",Moderate,No nature elements,10.75,ABAB,4
40,"Irama gendang tertibnya paluan,
Elak tersasul langkah nan sumbang;
Memukul orang yang tidak.melawan,
Pendekar bacul berlagak garang.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
41,"Gerak yang segar tepuknya meriah,
Irama gendang tertibnya paluan;
Zalim dan liar angkuhnya menyerlah,
Memukul orang yang tidak melawan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
42,"Teratur langkah senyum.menawan,
Geraknya segar tepuk meriah;
Sikap dan tingkah bagaikan haiwan,
Zalim dan liar angkuhnya menyerlah",Moderate,Word count per line is not in the range of 4-5,9.75,ABAB,4
43,"Cantik selendang dihias kerongsang,
Teratur langkah senyum menawan;
Adabnya hilang kasihnya gersang,
Sikap dan tingkah bagaikan haiwan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
44,"Hebat menari memikat hati,
Cantik selendang dihias kerongsang;
Maruah diri menjadi pengganti,
Adabnya hilang kasihnya gersang.",Moderate,No nature elements,10.0,ABAB,4
45,"Baju celoreng menjadi bualan,
Hebat menari memikat hati;
Mi goreng tumpah ke jalan,
Maruah diri menjadi pengganti.",Moderate,No nature elements,9.5,ABAB,4
46,"Andainya jemu alihkan pandangan,
Biarpun tunggul mata selesa;
Tradisi ilmu memacu perubahan,
Budaya unggul peradaban bangsa.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.75,ABAB,4
47,"Mata berkaca pandang tak jemu,
Andainya jemu alihkan pandangan;
Budaya membaca tradisi ilmu,
Tradisi ilmu memacu perubahan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.0,ABAB,4
48,"Agas mengetip di selut paya,
Mata berkaca pandang tak jemu;
Buku dititip membangun budaya,
Budaya membaca tradisi ilmu.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
49,"Hamparan padi jangkauan mata,
Agas mengetip di selut paya;
Setitis budi selautan pahala,
Buku dititip membangun budaya.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
50,"Saling selisih daunan padi,
Hamparan padi jangkauan mata;
Terima kasih rumpunan keladi,
Setitis budi selautan pahala.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
51,"Melepas penat di bendang seharian,
Padi merimbun girangnya kepalang,
Bermandi keringat dalam kedinginan,
Menitislah embun Subuh menjelang.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.25,ABAB,4
52,"Duduk di pangkin mereda lelahan,
Melepas penat di bendang seharian;
Malam pengantin dalam.imbauan,
Bermandi keringat dalam kedinginan.",Moderate,Word count per line is not in the range of 4-5; No nature elements,10.75,ABAB,4
53,"Melangkah rangtua berlenggang pulang,
Duduk di pangkin mereda lelahan;
Gelora di jiwa membuak bertandang,
Malam pengantin dalam imbauan.",Moderate,No nature elements,10.25,ABAB,4
54,"Lembayung petang kian menggelap,
Melangkah rangtua berlenggang pulang;
Tertiarap terlentang tak kunjung lelap,
Gelora di jiwa membuak bertandang.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
55,"Hujung permatang kerbau tenggala,
Lembayung petang kian menggelap;
Terbaring di ranjang gelisah menggila,
Tertiarap terlentang tak kunjung lelap.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
56,"Bendang terhampar tampak berbalam,
Hujung permatang kerbau tenggala;
Pendayung terdampar di gelita malam,
Terbaring di ranjang gelisah menggila.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.0,ABAB,4
57,"Indah lembayung duduk melangut,
Bendang terhampar tampak berbalam;
Ingin mendayung sampannya hanyut,
Pendayung terdampar di gelita malam.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
58,"Lalang nan disulam sarang tempua,
Di pelepah kelapa hujung-hujungan;
Kalangan talam yang bermuka-muka,
Maruah bangsa barangan jualan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
59,"Di celahan banir tumbuhlah lalang,
Lalang nan disulam sarang tempua;
Dicela yang benar yang salah dijulang,
Kalangan talam yang bermuka-muka.",Moderate,Word count per line is not in the range of 4-5,11.0,ABAB,4
60,"Dahan sekah luruhlah dedaunan,
Di celahan banir tumbuhlah lalang;
Bagai melukah di sempit pergentingan,
Dicela yang benar yang salah dijulang.",Moderate,Word count per line is not in the range of 4-5,11.25,ABAB,4
61,"Gugur ke tanah bangkit berkejaran,
Dahan sekah luruhlah dedaunan;
Merebak fitnah mengambil kesempatan,
Bagai melukah di sempit pergentingan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.25,ABAB,4
62,"Kian cempera ranting dahan direngkuh,
Gugur ke tanah bangkit berkejaran;
Elit penguasa nan berdebat angkuh,
Merebak fitnah mengambil kesempatan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.25,ABAB,4
63,"Gema suaranya sambut-menyambut,
Kian cempera ranting dahan direngkuh;
Semakin bertanya semakin serabut,
Elit penguasa nan berdebat angkuh.",Moderate,Word count per line is not in the range of 4-5,11.0,ABAB,4
64,"Bergayut merata sahutan bergema,
Gema suaranya sambut-menyambut;
Rakyat jelata nan terpinga-pinga,
Semakin bertanya semakin serabut.",Moderate,Word count per line is not in the range of 4-5,11.25,ABAB,4
65,"Guruh berdentum beruk cempera,
Bergayut merata sahutan bergema;
Titah adendum semua bersuara,
Rakyat jelata nan terpinga-pinga,",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.75,ABAB,4
66,"Rori jala berkuah banjir,
Telor rebus dan teh tarik;
Elok selera belum berakhir,
Jalan terus usahlah serik.",Moderate,No nature elements,8.75,ABAB,4
67,"Enam karipap berkuah kari,
Telor dadar sedikit sayuran;
Hidangan sedap kita syukuri,
Hidup segar anugerah Tuhan.",Moderate,No nature elements,9.75,ABAB,4
68,"Antiknya kolah pusaka warisan,
Dikumpul tayar hiasan tergesa;
Digoda mengalah diduga bertahan;
Tewas empayar mundurlah bangsa.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.75,ABAB,4
69,"Dibasuhlah tangga air sekolah,
Antiknya kolah pusaka warisan;
Orang ketiga ramah memcelah,
Digoda mengalah diduga bertahan.",Moderate,No nature elements,10.75,ABAB,4
70,"Dibuka tingkap jiran mengerling,
Dibasuhlah tangga air sekolah;
Raga didakap hati terasing,
Orang ketiga ramah mencelah.",Moderate,No nature elements,10.0,ABAB,4
71,"Halaman beraih dijemurlah kain,
Dibuka tingkap jiran menjeling;
Cinta kasih ke orang yang lain,
Raga didakap hati terasing.",Moderate,Word count per line is not in the range of 4-5,9.75,ABAB,4
72,"Lelah memgemas selesai kenduri,
Halaman bersih dijemurlah kain;
Cincin emas tersarung di jari,
Cinta kasih ke orang yang lain.",Moderate,Word count per line is not in the range of 4-5,10.0,ABAB,4
73,"Merawat jenuh membilang hari,
Ngilu terasa bukan mainan;
Bagai membunuh saudara sendiri,
Terhimpun dosa ke detik perhitungan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
74,"Keruping parut kulit terkoyak,
Merawat jenuh membilang hari;
Mulut ke mulut fitnah merebak;
Bagai membunuh saudara sendiri.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
75,"Pedih ngilu sakit mengerang,
Keruping parut kulit terkoyak;
Menanggung malu dibenci orang,
Mulut ke mulut fitnah merebak.",Moderate,No nature elements,9.75,ABAB,4
76,"Merah darah ranum pulasan,
Pedih ngilu sakit mengerang;
Harta maruah menjadi taruhan,
Menanggung malu dibenci orang.",Moderate,No nature elements,9.5,ABAB,4
77,"Kudis terluka merata darahnya,
Merah darah ranum pulasan;
Terlajak kata buruk padahnya,
Harta maruah menjadi taruhan.",Moderate,No nature elements,10.0,ABAB,4
78,"Tajam belati luka berparut,
Kudis terluka merata darahnya;
Didiklah hati peliharalah mulut,
Terlajak kata buruk padahnya.",Moderate,No nature elements,10.75,ABAB,4
79,"Tumbuh subur pohon meranti,
Binaan rumah kukuh bertahan,
Petaka yang datang harus dimengerti,
Ada isyarat disampaikan Tuhan",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
80,"Indah sekuntum bunga melati,
Hendak diletak dalam perahu,
Meskipun berjanji sehidup semati,
Takdir Tuhan siapa yang tahu",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
81,"Menebar sayap terbangnya helang,
Mangsa bersembunyi di celah belahan,
Meskipun kepulangan terus terhalang,
Semangat dan tekad membina ketabahan",Moderate,Syllable count per line is not in the range of 8-12,11.75,ABAB,4
82,"Indah terbentuk gumpalan awan,
Terurai lembut bagai jerami,
Beberapa hari dalam kecelaruan,
Mengapa tiada kenyataan rasmi",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
83,"Mengapa perlu hendak bergaya,
Kemiskinan di sekitar bukan mainan,
Hidup berintegriti mulai membudaya,
Keadilan terlaksana asas keharmonian",Moderate,Syllable count per line is not in the range of 8-12; No nature elements,12.0,ABAB,4
84,"Apabila disuruh segeralah patuh,
Seringkali enggan menjadi lali,
Di saat ada teman yang jatuh,
Hulurkan tangan bangkitkan kembali",Poor,Word count per line is not in the range of 4-5; Syllable count per line is not in the range of 8-12; No nature elements,11.0,ABAB,4
85,"Berkunjung lagi ke Sungai Besar,
Melihat matahari menjelang senja,
Rakus melampau hingga tersasar,
Negara orang hendak dijaja",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
86,"Pagi yang sepi langit pun redup,
Pancaran mentari hanya sesekali,
Selagi memiliki pasangan hidup,
Berlemah lembut ambillah peduli",Moderate,Word count per line is not in the range of 4-5,11.25,ABAB,4
87,"Tidak selalu ditemui mentarang,
Orang menjual di sebelah kiri,
Mengapa harus salahkan orang,
Jika keterlanjuran angkara sendiri",Moderate,Syllable count per line is not in the range of 8-12,11.0,ABAB,4
88,"Malas berfikir menjadikannya bebal,
Ucapannya angkuh penuh kebebasan,
Apabila prasangka begitu menebal,
Terungkap ide penuh penindasan",Moderate,Syllable count per line is not in the range of 8-12,12.0,ABAB,4
89,"Asyik mendengar bunyi cengkerik,
Pungguk merayu menggetar rasa,
Terlajak perahu boleh ditarik,
Terlajak kata rosak binasa",Moderate,No nature elements,10.25,ABAB,4
90,"Insan yang baik mengambil kisah,
Agar perhubungan terus berkekalan,
Hidup penuh resah gelisah,
Rasulullah banyak tunjukkan jalan",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
91,"Berwarna warni siburung bayan,
Indah lagi burung kenari,
Dalam keadaan tiada kepastian,
Lebih baiklah berdiam diri",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.0,ABAB,4
92,"Kalau tersesat kembalilah ke pangkal,
Mencari air hilangkan dahaga,
Pancing hanyalah panjang sejengkal,
Janganlah lautan hendak diduga",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
93,"Terbang tinggi siburung helang,
Sesekali menjunam ke permukaan,
Apabila malu telah pun hilang,
Fasad dan mungkar jadi kebiasaan",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
94,"Tidak bersapa bagaikan hilang,
Sepi mencengkam di dalam hati,
Dapatkah lestari budaya cemerlang,
Andai keyakinan kian dikhianati",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.75,ABAB,4
95,"Tak kan pohon akan bergoyang,
Andai tiada angin yang lalu,
Kerana yakin lantas disayang,
Melaksana amanah wajib didahulu",Moderate,Syllable count per line is not in the range of 8-12,10.25,ABAB,4
96,"Meraba-raba dalam kegelapan,
Hanya menurut gerakan hati,
Gencatan senjata membentang harapan,
Usah dikhianati janji disepakati",Moderate,Word count per line is not in the range of 4-5; Syllable count per line is not in the range of 8-12,11.5,ABAB,4
97,"Mentari pagi janjikan sinaran,
Mengukir keindahan tepian kali,
Biarpun yang tinggal hanya kehancuran,
Ke tanah air tetap kembali",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
98,"Meliuk lintuk pepohon ru,
Di pantai desa kenangan lama,
Selamat meraikan Tahun Baharu,
Seluruh kebaikan dinikmati bersama",Moderate,Syllable count per line is not in the range of 8-12,10.5,ABAB,4
99,"Biarpun terancam ditusuk panah,
Rela terkorban pertahan pertiwi,
Meskipun semuanya hancur dan musnah,
Jiwa kental dengan pengalaman dilalui",Moderate,Syllable count per line is not in the range of 8-12; No nature elements,11.25,ABAB,4
100,"Jenama baru Durian Butang,
Cuba mencari di Pantai Remis,
Amatlah sukar menuntut hutang,
Sipemiutang pula bagaikan mengemis",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
101,"Pelajari sejarah tentang kejatuhan,
Rakyat ditindas dan dianiaya,
Mempamer kuasa dengan keangkuhan,
Munculkah nanti keharmonian dunia",Moderate,Syllable count per line is not in the range of 8-12; No nature elements,10.75,ABAB,4
102,"Ke Kuala Penyu lintasi Kimanis,
Terkenang pula Jambatan Tamparuli,
Pinjaman dipohon berjanji manis,
Setelah diperoleh tidak dipeduli",Moderate,Syllable count per line is not in the range of 8-12,11.75,ABAB,4
103,"Sekian lama hidup menderita,
Peperangan berpanjangan membekas pengajaran,
Meski teruja gencatan senjata,
Harus waspada dengan kejujuran",Moderate,Syllable count per line is not in the range of 8-12,11.75,ABAB,4
104,"Kedudukan, pangkat dan juga harta,
Kan dipersoal dihari yang dinanti,
Mengotakan segala yang diperkata,
Bicara lahir dari kejernihan hati",Moderate,Syllable count per line is not in the range of 8-12; No nature elements,11.75,ABAB,4
105,"Tetap ternampak sekecil hama,
Kelebihan orang dijadikan halangan,
Kejayaan dicapai dikongsi bersama,
Kepentingan negara jadi perjuangan",Moderate,Syllable count per line is not in the range of 8-12,11.75,ABAB,4
106,"Usah diharap sebarang kurnia,
Atau menanti ucapan penghargaan,
Kalaulah benar pemimpin dunia,
Perdamaian sejagat agenda keutamaan",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.75,ABAB,4
107,"Peroleh untung bawa keterujaan,
Jika terleka tidak kan lama,
Bukanlah mudah menerajui perniagaan,
Kesungguhan dan kejujuran faktor utama",Moderate,Syllable count per line is not in the range of 8-12; No nature elements,11.75,ABAB,4
108,"Tak kan pokok dapat bergoyang,
Angin bertiup dipetang hari,
Kelebihan yang ada usahlah ditayang,
Akan menghilang penghormatan diri",Moderate,Syllable count per line is not in the range of 8-12,10.5,ABAB,4
109,"Telah ditelusuri pelbagai tempat,
Belum diperoleh apa yang dihajati,
Tiada salahnya berbeza pendapat,
Suburkan budaya hormat menghormati",Moderate,Syllable count per line is not in the range of 8-12; No nature elements,12.0,ABAB,4
110,"Seakan berfokus fikiran berpeleseran,
Dahan ke dahan bagaikan situpai,
Berikan tumpuan menentukan sasaran,
Tekad bersama harapan tercapai",Moderate,Syllable count per line is not in the range of 8-12,11.75,ABAB,4
111,"Tiap sesuatu menjadi inspirasi,
Sama ada kebaikan atau keburukan,
Apabila bencana tidak teratasi,
Teori konspirasi pula yang diketengahkan",Moderate,Syllable count per line is not in the range of 8-12,12.75,ABAB,4
112,"Pemandangan indah di Inderapuri,
Pohon kesidang di bawah teduhan,
Dalam merasakan kehebatan diri,
Sedang berlangsung ujian Tuhan",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.0,ABAB,4
113,"Indah nian istana bunian,
Hanya khayalan halwa cerita,
Fitnah dan tohmah usah dilayan,
Jangan biarkan rakyat derita",Moderate,No nature elements,9.25,ABAB,4
114,"Persoalan semasa wacana akademik,
Idea lama tiada yang baharu,
Titah diraja menjadi polemik,
Rakyat terbanyak terjerat keliru",Moderate,Syllable count per line is not in the range of 8-12; No nature elements,11.25,ABAB,4
115,"Bertimbun resah di dalam dada,
Meskipun berat harus bertahan,
Bencana besar yang sedang melanda,
Ada mesej disampaikan Tuhan",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
116,"Sekian lama tiada bicara,
Bagai terungkai sebuah ikatan,
Pelbagai helah, upaya dan cara,
Tanpa disedari menghancurkan watan",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
117,"Meracik kain menjadi perca,
Jangan sampai terhiris jari,
Biarlah musuh terus mencerca,
Kepada Allaah keredhaan dicari",Moderate,No nature elements,9.5,ABAB,4
118,"Lagaknya bagai orang bergeliga,
Tidak bertulang resminya lidah,
Ketika perhubungan tidak dijaga,
Keterlanjuran berlaku membawa padah",Moderate,Syllable count per line is not in the range of 8-12,11.5,ABAB,4
119,"Lagu ketuhanan Kumpulan Raihan,
Diterima baik semua pihak,
Prinsip kebenaran perlu dipertahan,
Prinsip keadilan pada yang berhak",Moderate,No nature elements,10.5,ABAB,4
120,"Kain berlipat tersusun rapi,
Gadis jelita duduk bertimpuh,
Bagai lautan tidak bertepi,
Terus berjuang tanpa bertempoh",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.25,ABAB,4
121,"Bunga seroja hendak diikat,
Menjadi hiasan di meja papan,
Menyedari usia sudah meningkat,
Merosotnya kecergasan membawa keinsafan",Moderate,Syllable count per line is not in the range of 8-12,11.0,ABAB,4
122,"Bersarang rendah burung tempua,
Terlindung redup hindari kepanasan,
Takrif pembangunan meratah semua,
Tanah kelahiranku tidak terkesan",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.0,ABAB,4
123,"Mawar berkembang di dalam taman,
Rama-rama menari riang terlakar,
Berulang kali ke kampung halaman,
Rindu kasihmu segar dan mekar",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
124,"Biar pujangga menulis madah,
Untaian kata seindah pelangi,
Kejayaan dicapai tidaklah mudah,
Harus dihargai bukan dirintangi",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
125,"Nikmati alam di perairan Semporna,
Kembara rimba di Kalabakan,
Aspirasi lalu belum terlaksana,
Perbaharui azam untuk meneruskan",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",11.5,ABAB,4
126,"Ufuk semalam telah menghilang,
Menyerlah rona di bumi Balkan,
2025 muncul gemilang,
Keadilan sejagat terus diperjuangkan",Moderate,Word count per line is not in the range of 4-5; Syllable count per line is not in the range of 8-12,9.25,ABAB,4
127,"Berkain songket putera nan tampan,
Bawakan Sang ratu buah berangan;
Buruk diungkit yang baik disimpan,
Lempar batu sembunyi tangan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.5,ABAB,4
